"Module","ModuleFamily","Entity","FeatureAction","ActionKind","HttpMethod","RouteExpression","PermissionExpression","PermissionReference","EndpointFile","Line"
"Auth","Auth and security","Authentication","ChangePassword","Workflow","POST","""/api/v1/auth/change-password"", async (ChangePasswordRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/ChangePassword/ChangePasswordEndPoint.cs","13"
"Auth","Auth and security","Authentication","ConfirmOTP","Workflow","POST","""/api/v1/auth/confirm-otp"", async (ConfirmOTPRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/ConfirmOTP/ConfirmOTPEndPoint.cs","10"
"Auth","Auth and security","Authentication","GenerateResetPasswordOTP","Workflow","POST","""/api/v1/catalog/auth/reset-password-phone"", async (GenerateResetPasswordOTPRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/GenerateResetPasswordOTP/GenerateResetPasswordOTPEndPoint.cs","30"
"Auth","Auth and security","Authentication","GenerateResetPasswordOTP","Workflow","POST","""/api/v1/auth/reset-password"", async (GenerateResetPasswordOTPRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/GenerateResetPasswordOTP/GenerateResetPasswordOTPEndPoint.cs","15"
"Auth","Auth and security","Authentication","Login","Workflow","POST","""/api/v1/auth/login"", async (LoginRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/Login/LoginEndPoint.cs","11"
"Auth","Auth and security","Authentication","RegisterUser","Workflow","POST","""/api/v1/auth/register"", async (RegisterUserRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/RegisterUser/RegisterUserEndPoint.cs","10"
"Auth","Auth and security","Authentication","ValidateRefreshToken","Workflow","POST","""/api/v1/auth/refresh-token"", async (RefreshTokenRequest request, ISender sender) =>","","","src/Modules/Auth/Auth/Users/Features/Authentication/ValidateRefreshToken/RefreshTokenEndPoint.cs","9"
"Auth","Auth and security","IsAlive","IsAlive","View/List","GET","""/"", async () =>","","","src/Modules/Auth/Auth/Users/Features/IsAlive/IsAliveEndpoint.cs","7"
"Auth","Auth and security","Roles","CreateRole","Workflow","POST","""/api/v1/auth/roles"", async (CreateRoleRequest request, ISender sender) =>","PermissionList.RolesPermissions.Create","RolesPermissions.Create","src/Modules/Auth/Auth/Users/Features/Roles/CreateRole/CreateRoleEndpoint.cs","10"
"Auth","Auth and security","Roles","DeleteRole","Workflow","DELETE","""/api/v1/auth/roles/{roleName}"", async ([FromRoute] string roleName, [FromServices] ISender sender) =>","PermissionList.RolesPermissions.Delete","RolesPermissions.Delete","src/Modules/Auth/Auth/Users/Features/Roles/DeleteRole/DeleteRoleEndpoint.cs","11"
"Auth","Auth and security","Roles","GetRoleByName","Workflow","GET","""/api/v1/auth/roles/{roleName}"", async (string roleName, ISender sender) =>","PermissionList.RolesPermissions.View","RolesPermissions.View","src/Modules/Auth/Auth/Users/Features/Roles/GetRoleByName/GetRoleByNameEndpoint.cs","8"
"Auth","Auth and security","Roles","GetRoles","Workflow","GET","""/api/v1/auth/roles/company/{companyId}"", async ([FromRoute] Guid companyId, ISender sender) =>","PermissionList.RolesPermissions.View","RolesPermissions.View","src/Modules/Auth/Auth/Users/Features/Roles/GetRoles/GetRolesEndpoint.cs","11"
"Auth","Auth and security","Roles","GetRolesByUserName","Workflow","GET","""/api/v1/auth/roles/GetByUserName/{userName}"", async (string userName, ISender sender) =>","PermissionList.RolesPermissions.View","RolesPermissions.View","src/Modules/Auth/Auth/Users/Features/Roles/GetRolesByUserName/GetRolesByUserNameEndpoint.cs","9"
"Auth","Auth and security","Users","AssignRoleToUser","Workflow","POST","""/api/v1/auth/Users/AssignRole"", async (AssignRoleToUserRequest request, ISender sender) =>","PermissionList.UsersPermissions.Create","UsersPermissions.Create","src/Modules/Auth/Auth/Users/Features/Users/AssignRoleToUser/AssignRoleToUserEndpoint.cs","9"
"Auth","Auth and security","Users","GetByUserName","Workflow","GET","""/api/v1/auth/users/GetByUserName/{userName}"", async (string userName, ISender sender) =>","PermissionList.UsersPermissions.View","UsersPermissions.View","src/Modules/Auth/Auth/Users/Features/Users/GetByUserName/GetByUserNameEndpoint.cs","13"
"Auth","Auth and security","Users","GetUsersByCompany","Workflow","GET","""/api/v1/auth/Users/company/{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.UsersPermissions.View","UsersPermissions.View","src/Modules/Auth/Auth/Users/Features/Users/GetUsersByCompany/GetUsersGetUsersByCompanyEndpoint.cs","12"
"Auth","Auth and security","Users","UnassignRoleFromUser","Workflow","POST","""/api/v1/auth/users/unassignRole"", async (UnassignRoleFromUserRequest request, ISender sender) =>","PermissionList.UsersPermissions.Delete","UsersPermissions.Delete","src/Modules/Auth/Auth/Users/Features/Users/UnassignRoleFromUser/UnassignRoleFromUserEndPoint.cs","9"
"Cart","Sales, POS, and orders","AddCartLine","AddCartLine","Workflow","POST","""/api/v1/cart/carts/{id}/lines"", async (Guid id, AddCartLineRequest request, ISender sender) =>","PermissionList.CartPermissions.Edit","CartPermissions.Edit","src/Modules/Cart/Cart/Carts/Features/AddCartLine/AddCartLineEndpoint.cs","10"
"Cart","Sales, POS, and orders","CheckoutCart","CheckoutCart","Workflow","POST","""/api/v1/cart/carts/{id}/checkout"", async (Guid id, CheckoutCartRequest? request, ISender sender) =>","PermissionList.CartPermissions.Checkout","CartPermissions.Checkout","src/Modules/Cart/Cart/Carts/Features/CheckoutCart/CheckoutCartEndpoint.cs","10"
"Cart","Sales, POS, and orders","ClearCart","ClearCart","Workflow","DELETE","""/api/v1/cart/carts/{id}/lines"", async (Guid id, ISender sender) =>","PermissionList.CartPermissions.Edit","CartPermissions.Edit","src/Modules/Cart/Cart/Carts/Features/ClearCart/ClearCartEndpoint.cs","9"
"Cart","Sales, POS, and orders","CreateCart","CreateCart","Workflow","POST","""/api/v1/cart/carts"", async (CreateCartRequest request, ISender sender) =>","PermissionList.CartPermissions.Create","CartPermissions.Create","src/Modules/Cart/Cart/Carts/Features/CreateCart/CreateCartEndpoint.cs","10"
