"TextEn","Route","PermissionExpression","PermissionReference","ModuleFamily","SourceFile","Line"
"Approve Permission Requests","/Attendance/ApprovePermissionRequests","PermissionList.AttendancePermissions.RequestMidDayPermission","AttendancePermissions.RequestMidDayPermission","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","355"
"Configuration","/Attendance/Configuration","PermissionList.AttendancePermissions.ReviewRequests","AttendancePermissions.ReviewRequests","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","331"
"Dashboard","/Attendance/Dashboard","PermissionList.AttendancePermissions.Select","AttendancePermissions.Select","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","283"
"Holidays","/Attendance/Holidays","PermissionList.AttendancePermissions.ViewConfiguration","AttendancePermissions.ViewConfiguration","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","339"
"Late Requests","/Attendance/LateRequests","PermissionList.AttendancePermissions.Edit","AttendancePermissions.Edit","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","323"
"My Attendance","/Attendance/MyAttendance","PermissionList.AttendancePermissions.View","AttendancePermissions.View","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","291"
"Permission Requests","/Attendance/PermissionRequests","PermissionList.AttendancePermissions.ManageHolidays","AttendancePermissions.ManageHolidays","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","347"
"Reports Overview","/Attendance/Reports","PermissionList.AttendancePermissions.ViewReports","AttendancePermissions.ViewReports","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","371"
"Absence Report","/Attendance/Reports/Absence","PermissionList.AttendancePermissions.ViewReports","AttendancePermissions.ViewReports","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","427"
"Daily Attendance Report","/Attendance/Reports/Attendance","PermissionList.AttendancePermissions.ViewReports","AttendancePermissions.ViewReports","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","379"
"Employee Attendance Summary","/Attendance/Reports/AttendanceSummary","PermissionList.AttendancePermissions.ViewReports","AttendancePermissions.ViewReports","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","387"
"Break Report","/Attendance/Reports/Break","PermissionList.AttendancePermissions.ViewReports","AttendancePermissions.ViewReports","Attendance and leave","UI/AlAfkarERP/AlAfkarERP.Shared/Layout/MuenuItem.cs","411"
