"Module","ModuleFamily","Route","PageFile","MenuReachable"
"LeavesManagement","Attendance and leave","/Attendance/ApproveEmergencyLeaves","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/LeavesManagement/Pages/ApproveEmergencyLeaves.razor","False"
"Attendance","Attendance and leave","/Attendance/ApprovePermissionRequests","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/ApprovePermissionRequests.razor","True"
"Attendance","Attendance and leave","/Attendance/Configuration","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/AttendanceConfiguration.razor","True"
"Attendance","Attendance and leave","/Attendance/Dashboard","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/AttendanceDashboard.razor","True"
"LeavesManagement","Attendance and leave","/Attendance/EmergencyLeaves","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/LeavesManagement/Pages/EmergencyLeaveRequests.razor","False"
"Attendance","Attendance and leave","/Attendance/Holidays","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/AttendanceHolidays.razor","True"
"Attendance","Attendance and leave","/Attendance/LateRequests","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/LateCheckInRequests.razor","True"
"Attendance","Attendance and leave","/Attendance/MyAttendance","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/MyAttendance.razor","True"
"Attendance","Attendance and leave","/Attendance/PermissionRequests","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/MidDayPermissionRequests.razor","True"
"Attendance","Attendance and leave","/Attendance/Reports","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/AttendanceReports.razor","True"
"Attendance","Attendance and leave","/Attendance/Reports/{ReportCategory}","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/AttendanceReports.razor","False"
"Attendance","Attendance and leave","/Attendance/Sessions","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/AttendanceSessions.razor","True"
"Attendance","Attendance and leave","/Attendance/ShiftAssignments","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/ShiftAssignments.razor","True"
"Attendance","Attendance and leave","/Attendance/Shifts","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/Attendance/Pages/Shifts.razor","True"
"LeavesManagement","Attendance and leave","/LeavesManagement/ApproveEmergencyLeaves","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/LeavesManagement/Pages/ApproveEmergencyLeaves.razor","True"
"LeavesManagement","Attendance and leave","/LeavesManagement/Balances","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/LeavesManagement/Pages/LeaveBalances.razor","True"
"LeavesManagement","Attendance and leave","/LeavesManagement/EmergencyLeaves","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/LeavesManagement/Pages/EmergencyLeaveRequests.razor","True"
"LeavesManagement","Attendance and leave","/LeavesManagement/Reports","UI/AlAfkarERP/AlAfkarERP.Shared/Pages/Features/LeavesManagement/Pages/LeaveReports.razor","True"
