"PermissionClass","PermissionGroup","Entity","ModuleFamily","Action","Permission"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ApproveEmergencyLeave","Attendance.Attendance.ApproveEmergencyLeave"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ApproveMidDayPermission","Attendance.Attendance.ApproveMidDayPermission"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","Create","Attendance.Attendance.Create"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","Edit","Attendance.Attendance.Edit"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ManageConfiguration","Attendance.Attendance.ManageConfiguration"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ManageHolidays","Attendance.Attendance.ManageHolidays"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ManageLeaveBalances","Attendance.Attendance.ManageLeaveBalances"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","RequestEmergencyLeave","Attendance.Attendance.RequestEmergencyLeave"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","RequestMidDayPermission","Attendance.Attendance.RequestMidDayPermission"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ReviewRequests","Attendance.Attendance.ReviewRequests"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","Select","Attendance.Attendance.Select"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","View","Attendance.Attendance.View"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ViewAllReports","Attendance.Attendance.ViewAllReports"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ViewConfiguration","Attendance.Attendance.ViewConfiguration"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ViewLeaveBalances","Attendance.Attendance.ViewLeaveBalances"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ViewLeaveReports","Attendance.Attendance.ViewLeaveReports"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ViewReports","Attendance.Attendance.ViewReports"
"AttendancePermissions","Attendance.Attendance","Attendance","Attendance and leave","ViewScopedReports","Attendance.Attendance.ViewScopedReports"
"RolesPermissions","Authentication.Roles","Roles","Auth and security","Create","Authentication.Roles.Create"
"RolesPermissions","Authentication.Roles","Roles","Auth and security","Delete","Authentication.Roles.Delete"
"RolesPermissions","Authentication.Roles","Roles","Auth and security","Edit","Authentication.Roles.Edit"
"RolesPermissions","Authentication.Roles","Roles","Auth and security","Select","Authentication.Roles.Select"
"RolesPermissions","Authentication.Roles","Roles","Auth and security","View","Authentication.Roles.View"
"UsersPermissions","Authentication.Users","Users","Auth and security","Create","Authentication.Users.Create"
"UsersPermissions","Authentication.Users","Users","Auth and security","Delete","Authentication.Users.Delete"
"UsersPermissions","Authentication.Users","Users","Auth and security","Edit","Authentication.Users.Edit"
"UsersPermissions","Authentication.Users","Users","Auth and security","Select","Authentication.Users.Select"
"UsersPermissions","Authentication.Users","Users","Auth and security","View","Authentication.Users.View"
"BrandPermissions","Catalog.Brand","Brand","Catalog and pricing","Create","Catalog.Brand.Create"
"BrandPermissions","Catalog.Brand","Brand","Catalog and pricing","Delete","Catalog.Brand.Delete"
"BrandPermissions","Catalog.Brand","Brand","Catalog and pricing","Edit","Catalog.Brand.Edit"
"BrandPermissions","Catalog.Brand","Brand","Catalog and pricing","Select","Catalog.Brand.Select"
"BrandPermissions","Catalog.Brand","Brand","Catalog and pricing","View","Catalog.Brand.View"
"CategoryPermissions","Catalog.Category","Category","Catalog and pricing","Create","Catalog.Category.Create"
"CategoryPermissions","Catalog.Category","Category","Catalog and pricing","Delete","Catalog.Category.Delete"
"CategoryPermissions","Catalog.Category","Category","Catalog and pricing","Edit","Catalog.Category.Edit"
"CategoryPermissions","Catalog.Category","Category","Catalog and pricing","Select","Catalog.Category.Select"
"CategoryPermissions","Catalog.Category","Category","Catalog and pricing","View","Catalog.Category.View"
"PricingPermissions","Pricing.PriceList","PriceList","Catalog and pricing","Create","Pricing.PriceList.Create"
"PricingPermissions","Pricing.PriceList","PriceList","Catalog and pricing","Delete","Pricing.PriceList.Delete"
"PricingPermissions","Pricing.PriceList","PriceList","Catalog and pricing","Edit","Pricing.PriceList.Edit"
"PricingPermissions","Pricing.PriceList","PriceList","Catalog and pricing","Select","Pricing.PriceList.Select"
"PricingPermissions","Pricing.PriceList","PriceList","Catalog and pricing","View","Pricing.PriceList.View"
