"TestId","Module","Entity","Function","ActionKind","UINavPathOrRoute","RequiredPermission","BackendAPIFunctionCovered","PreconditionsTestData","ManualSteps","ExpectedResult","NegativePermissionCase","LocalizationRtlCheck","Result","Evidence","Notes"
"UAT-0316","Attendance and leave","Absence Report","Navigation/access","View/List","/Attendance/Reports/Absence","PermissionList.AttendancePermissions.ViewReports","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Absence Report; verify route /Attendance/Reports/Absence loads without authorization or data errors.","Absence Report is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0319","Attendance and leave","Approve Emergency Leave","Navigation/access","View/List","/LeavesManagement/ApproveEmergencyLeaves","PermissionList.AttendancePermissions.RequestEmergencyLeave","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Approve Emergency Leave; verify route /LeavesManagement/ApproveEmergencyLeaves loads without authorization or data errors.","Approve Emergency Leave is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0308","Attendance and leave","Approve Permission Requests","Navigation/access","View/List","/Attendance/ApprovePermissionRequests","PermissionList.AttendancePermissions.RequestMidDayPermission","Menu route and page load","Authorized user has the menu permission and company/session context is selected.","Open sidebar/workspace menu; click Approve Permission Requests; verify route /Attendance/ApprovePermissionRequests loads without authorization or data errors.","Approve Permission Requests is visible for authorized users and the target page loads successfully.","Remove the listed permission from the test role; menu item should be hidden and direct route should not expose data.","Switch English/Arabic and verify menu label, route page title, and layout direction.","","","Menu coverage row"
"UAT-0267","Attendance and leave","Attendance","ApproveEmergencyLeave","Workflow","/LeavesManagement/Balances","Attendance.Attendance.ApproveEmergencyLeave","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /LeavesManagement/Balances; create or select a record in the required status; execute the workflow action linked to Attendance.Attendance.ApproveEmergencyLeave; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Attendance.Attendance.ApproveEmergencyLeave; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0272","Attendance and leave","Attendance","ApproveMidDayPermission","Workflow","/Attendance/ApprovePermissionRequests","Attendance.Attendance.ApproveMidDayPermission","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ApprovePermissionRequests; create or select a record in the required status; execute the workflow action linked to Attendance.Attendance.ApproveMidDayPermission; verify status, audit trail, downstream data, and unavailable invalid next actions.","Workflow transition succeeds only from valid state, updates visible status, and preserves permission and audit behavior.","Sign in as a user without Attendance.Attendance.ApproveMidDayPermission; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0259","Attendance and leave","Attendance","Create","Create","/Attendance/Sessions","Attendance.Attendance.Create","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/Sessions; click Add/New; enter valid required data; save; confirm success toast and new row/detail is visible; repeat with missing required data to verify validation.","Attendance is created only with valid data, visible in the UI, and persisted after reload.","Sign in as a user without Attendance.Attendance.Create; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0260","Attendance and leave","Attendance","Edit","Edit","/Attendance/ShiftAssignments","Attendance.Attendance.Edit","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ShiftAssignments; select an existing record; edit allowed fields; save; verify success toast and persisted changes after refresh.","Attendance changes are saved, reloaded correctly, and validation prevents invalid updates.","Sign in as a user without Attendance.Attendance.Edit; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0264","Attendance and leave","Attendance","ManageConfiguration","General","/Attendance/ApprovePermissionRequests","Attendance.Attendance.ManageConfiguration","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ApprovePermissionRequests; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.ManageConfiguration; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0265","Attendance and leave","Attendance","ManageHolidays","General","/Attendance/PermissionRequests","Attendance.Attendance.ManageHolidays","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/PermissionRequests; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.ManageHolidays; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
"UAT-0269","Attendance and leave","Attendance","ManageLeaveBalances","General","/Attendance/ApprovePermissionRequests","Attendance.Attendance.ManageLeaveBalances","No direct endpoint found or covered through parent UI/service","Seeded company context, authorized test user, and valid Attendance data where applicable.","Open /Attendance/ApprovePermissionRequests; verify page loads; search/filter if available; inspect details; check pagination/sorting where present; verify empty-state and refresh behavior.","Attendance page/function is reachable, usable, permission-protected, and data is consistent with backend behavior.","Sign in as a user without Attendance.Attendance.ManageLeaveBalances; menu/action must be hidden or disabled, and direct navigation/action must be denied.","Switch English/Arabic and verify labels, direction, validation messages, and action alignment remain usable.","","",""
