"Module","BackendModule","Entity","FeatureAction","ActionKind","HttpMethod","BackendRoute","RequiredPermission","PermissionReference","UICoverageStatus","UIRouteOrPath","GapSeverity","BackendSource"
"Auth and security","Auth","Roles","CreateRole","Workflow","POST","""/api/v1/auth/roles"", async (CreateRoleRequest request, ISender sender) =>","PermissionList.RolesPermissions.Create","RolesPermissions.Create","In-page action reachable","/Auth/Role/Form","Covered","src/Modules/Auth/Auth/Users/Features/Roles/CreateRole/CreateRoleEndpoint.cs"
"Auth and security","Auth","Roles","DeleteRole","Workflow","DELETE","""/api/v1/auth/roles/{roleName}"", async ([FromRoute] string roleName, [FromServices] ISender sender) =>","PermissionList.RolesPermissions.Delete","RolesPermissions.Delete","In-page action reachable","/Auth/User/AssignRole","Covered","src/Modules/Auth/Auth/Users/Features/Roles/DeleteRole/DeleteRoleEndpoint.cs"
"Auth and security","Auth","Roles","GetRoleByName","Workflow","GET","""/api/v1/auth/roles/{roleName}"", async (string roleName, ISender sender) =>","PermissionList.RolesPermissions.View","RolesPermissions.View","Menu reachable","/Auth/User/AssignRole","Covered","src/Modules/Auth/Auth/Users/Features/Roles/GetRoleByName/GetRoleByNameEndpoint.cs"
"Auth and security","Auth","Roles","GetRoles","Workflow","GET","""/api/v1/auth/roles/company/{companyId}"", async ([FromRoute] Guid companyId, ISender sender) =>","PermissionList.RolesPermissions.View","RolesPermissions.View","Menu reachable","/Auth/User/AssignRole","Covered","src/Modules/Auth/Auth/Users/Features/Roles/GetRoles/GetRolesEndpoint.cs"
"Auth and security","Auth","Roles","GetRolesByUserName","Workflow","GET","""/api/v1/auth/roles/GetByUserName/{userName}"", async (string userName, ISender sender) =>","PermissionList.RolesPermissions.View","RolesPermissions.View","Menu reachable","/Auth/User/AssignRole","Covered","src/Modules/Auth/Auth/Users/Features/Roles/GetRolesByUserName/GetRolesByUserNameEndpoint.cs"
"Auth and security","Auth","Users","GetByUserName","Workflow","GET","""/api/v1/auth/users/GetByUserName/{userName}"", async (string userName, ISender sender) =>","PermissionList.UsersPermissions.View","UsersPermissions.View","Menu reachable","/GeneralSettings/SystemSettings","Covered","src/Modules/Auth/Auth/Users/Features/Users/GetByUserName/GetByUserNameEndpoint.cs"
"Auth and security","Auth","Users","GetUsersByCompany","Workflow","GET","""/api/v1/auth/Users/company/{companyId}"", async ([FromRoute] Guid companyId, [AsParameters] PaginationRequest request, [FromServices] ISender sender) =>","PermissionList.UsersPermissions.View","UsersPermissions.View","Menu reachable","/GeneralSettings/SystemSettings","Covered","src/Modules/Auth/Auth/Users/Features/Users/GetUsersByCompany/GetUsersGetUsersByCompanyEndpoint.cs"
"Catalog and pricing","Catalog","Brands","CreateBrand","Workflow","POST","""/api/v1/catalog/Brands"", async (CreateBrandRequest request, ISender sender) =>","$""{PermissionList.BrandPermissions.Create}""","BrandPermissions.Create","In-page action reachable","/Warehouse/Product/Brand/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Brands/CreateBrand/CreateBrandEndPoint.cs"
"Catalog and pricing","Catalog","Brands","GetBrandById","Workflow","GET","""/api/v1/catalog/brands/{id}"", async (Guid id, ISender sender) =>","PermissionList.BrandPermissions.View","BrandPermissions.View","Menu reachable","/Warehouse/Product/Category/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Brands/GetBrandById/GetBrandByIdEndPoint.cs"
"Catalog and pricing","Catalog","Brands","GetBrands","Workflow","GET","""/api/v1/catalog/Brands"", async ([AsParameters] PaginationRequest request,ISender sender) =>","PermissionList.BrandPermissions.View","BrandPermissions.View","Menu reachable","/Warehouse/Product/Category/List","Covered","src/Modules/Catalog/Catalog/Products/Features/Brands/GetBrands/GetBrandsEndPoint.cs"
